"MN","CD","MeanAnomaly","SDAnomaly"
8,7,2.0828,-0.0174
9,7,2.5823,-0.0272
10,7,2.032,-0.0207
11,8,0.5842,-0.098
12,8,0.4826,-0.1214
1,8,0.4149,-0.1038
2,8,0.3641,-0.1201
3,8,0.9652,-0.0737
4,8,1.4478,-0.0509
5,8,1.8457,-0.0022
6,8,1.4478,-0.0037
7,8,0.8721,-0.0037
8,8,0.6181,-0.0034
9,8,0.6011,-0.0181
10,8,0.6011,-0.0181
11,9,1.0668,-0.0417
12,9,0.9271,-0.0396
1,9,0.6604,-0.085
2,9,0.4572,-0.2289
3,9,1.1261,-0.2176
4,9,1.5579,-0.1597
5,9,1.6002,-0.0301
6,9,1.0583,-0.0345
7,9,0.8213,-0.0365
8,9,0.8213,-0.0173
9,9,0.4741,-0.0289
10,9,0.2371,-0.0262
11,10,0.7874,-0.0531
12,10,0.3937,-0.0265
1,10,0.2625,-0.0177
2,10,0,0
3,10,0.9483,0
4,10,1.3462,-0.0031
5,10,1.9812,-0.0081
6,10,2.3876,-0.0097
7,10,3.1496,-0.0102
8,10,3.7931,-0.0124
9,10,3.3782,-0.0113
10,10,2.2183,-0.0075
11,11,0.635,-0.1242
12,11,0.3175,-0.0621
1,11,0.2117,-0.0414
2,11,0,0
3,11,0.4657,-0.0043
4,11,0.7535,-0.0058
5,11,0.9652,-0.0058
6,11,0.8975,-0.0019
7,11,0.9398,-0.0279
8,11,1.0922,-0.0284
9,11,0.7959,-0.0547
10,11,0.4657,-0.0273
11,12,0,0
12,12,0,0
1,12,0,0
2,12,0,0
3,12,0,0
4,12,0,0
5,12,0,0
6,12,0.5334,-0.0064
7,12,1.2277,-0.0074
8,12,1.7272,-0.0183
9,12,1.4563,-0.0956
10,12,0.762,-0.0946
11,13,0,0
12,13,0,0
1,13,0,0
2,13,0,0
3,13,0.2032,-0.0022
4,13,0.2032,-0.0022
5,13,0.2032,-0.0022
6,13,0.254,-0.0276
7,13,0.5927,-0.0296
8,13,0.7535,-0.0633
9,13,0.9144,-0.0612
10,13,0.5757,-0.0592
11,14,0.6604,-0.0937
12,14,0.635,-0.0558
1,14,0.8805,-0.0618
2,14,1.016,-0.034
3,14,0.9737,-0.0422
4,14,0.6181,-0.0176
5,14,0.2625,-0.0142
6,14,0.1016,0
7,14,0,0
8,14,0,0
9,14,0,0
10,14,0,0
11,15,0.5588,-0.0069
12,15,0.6096,-0.008
1,15,0.7451,-0.0407
2,15,0.8551,-0.0728
3,15,0.6858,-0.0698
4,15,0.3471,-0.0344
5,15,0.0508,0
6,15,0,0
7,15,0,0
8,15,0,0
9,15,0,0
10,15,0,0
11,16,0.635,-0.0117
12,16,0.6223,-0.0262
1,16,0.7366,-0.0318
2,16,0.9821,-0.0387
3,16,0.8805,-0.0268
4,16,0.5588,-0.0124
5,16,0.1016,-0.0017
6,16,0,0
7,16,0,0
8,16,0,0
9,16,0,0
10,16,0,0
11,17,0.635,-0.0063
12,17,0.7112,-0.0116
1,17,0.762,-0.008
2,17,0.8213,-0.0187
3,17,0.5588,-0.0131
4,17,0.2709,-0.0128
5,17,0,0
6,17,0.0762,-0.0044
7,17,0.0762,-0.0044
8,17,0.0762,-0.0044
9,17,0,0
10,17,0.1185,-7e-04
11,18,0.381,-0.0213
12,18,0.4064,-0.0136
1,18,0.4487,-0.0133
2,18,0.5334,-0.0275
3,18,0.3895,-0.0256
4,18,0.2117,-0.0213
5,18,0,0
6,18,0.0593,-0.0023
7,18,0.0593,-0.0023
8,18,0.0593,-0.0023
9,18,0,0
10,18,0.0847,-0.0031
11,19,0.4826,-0.0117
12,19,0.3556,-0.0298
1,19,0.3387,-0.0251
2,19,0.2709,-0.0457
3,19,0.1947,-0.0297
4,19,0.1609,-0.0262
5,19,-0.0085,-0.0111
6,19,-0.1778,-0.016
7,19,-0.2455,-0.0142
8,19,-0.1693,-0.0049
9,19,0,0
10,19,0.1609,-0.0022
11,20,0.4572,-0.0091
12,20,0.3683,-0.0095
1,20,0.2963,-0.0069
2,20,0.254,-0.0188
3,20,0.1609,-0.0155
4,20,0.1016,-0.0159
5,20,-0.1609,-0.0091
6,20,-0.3725,-0.0094
7,20,-0.3641,-0.0084
8,20,-0.2117,-3e-04
9,20,0,0
10,20,0.1185,-0.0041
11,21,0.8128,-0.0607
12,21,0.5715,-0.0394
1,21,0.4318,-0.0345
2,21,0.1609,-0.0142
3,21,0.1101,-0.0082
4,21,-0.127,-0.0047
5,21,-0.4403,-0.0047
6,21,-0.7874,-0.0047
7,21,-0.6011,-1e-04
8,21,-0.2879,0
9,21,0,0
10,21,0.1355,-0.0014
11,22,1.3462,-0.0579
12,22,1.27,-0.0556
1,22,1.3631,-0.0424
2,22,1.3885,-0.0257
3,22,1.1853,-0.0257
4,22,0.8721,-0.0685
5,22,0.3979,-0.0659
6,22,0.2032,-0.0482
7,22,0,0
8,22,0,0
9,22,0,0
10,22,0,0
11,23,1.5748,-0.1499
12,23,1.8161,-0.0795
1,23,1.778,-0.0609
2,23,1.5409,-0.151
3,23,1.2954,-0.1775
4,23,1.4563,-0.1697
5,23,1.2192,-0.0295
6,23,0.7789,0
7,23,0.0508,0
8,23,0,0
9,23,0,0
10,23,0,0
11,24,0.9652,-0.2327
12,24,1.1049,-0.2104
1,24,1.2023,-0.1983
2,24,1.1515,-0.2924
3,24,1.1684,-0.2949
4,24,1.1261,-0.2779
5,24,0.8551,-0.1063
6,24,0.4233,-0.041
7,24,0,0
8,24,0,0
9,24,0,0
10,24,0,0
11,25,1.3208,-0.1933
12,25,1.27,-0.1284
1,25,1.5325,-0.0892
2,25,1.7441,-0.0636
3,25,1.7357,-0.0627
4,25,2.0743,-0.0622
5,25,1.4224,-0.0234
6,25,1.0245,-0.0031
7,25,0,0
8,25,0,0
9,25,0,0
10,25,0,0
11,26,0.7874,-0.0099
12,26,0.8128,-0.0333
1,26,0.9737,-0.11
2,26,1.2277,-0.1249
3,26,1.2531,-0.1064
4,26,1.143,-0.0186
5,26,0.6265,-4e-04
6,26,0.3217,0
7,26,0,0
8,26,0,0
9,26,0,0
10,26,0,0
11,27,0.9144,-0.0122
12,27,0.8128,-0.0141
1,27,1.0499,-0.0511
2,27,1.3377,-0.0846
3,27,1.2446,-0.0846
4,27,0.7789,-0.044
5,27,0.1863,-0.0064
6,27,0.0423,-0.0011
7,27,0,0
8,27,0,0
9,27,0,0
10,27,0,0
11,28,0.9144,-0.0028
12,28,0.8128,-0.0071
1,28,1.0668,-0.0096
2,28,1.2785,-0.0202
3,28,1.0414,-0.0164
4,28,0.5165,-0.0116
5,28,0,0
6,28,0,0
7,28,0,0
8,28,0,0
9,28,0,0
10,28,0,0
11,29,0.7874,-0.0056
12,29,0.6477,-0.0062
1,29,0.7535,-0.029
2,29,0.8213,-0.0577
3,29,0.6519,-0.0554
4,29,0.3302,-0.0305
5,29,0,0
6,29,0,0
7,29,0,0
8,29,0,0
9,29,0,0
10,29,0,0
11,30,0.5334,-0.0089
12,30,0.5969,-0.0097
1,30,0.7366,-0.0239
2,30,0.7874,-0.0296
3,30,0.5673,-0.0262
4,30,0.2286,-0.0087
5,30,0,0
6,30,0,0
7,30,0,0
8,30,0,0
9,30,0,0
10,30,0.1355,-0.0042
11,31,0.3048,-0.0097
12,31,0.3302,-0.0053
1,31,0.3217,-0.0456
2,31,0.3979,-0.0461
3,31,0.2794,-0.0458
4,31,0.1778,-0.0038
5,31,0,0
6,31,0.0085,-0.0029
7,31,0.0085,-0.0029
8,31,0.0085,-0.0029
9,31,0,0
10,31,0.0677,-0.0068
11,32,0.5334,0
12,32,0.3683,-0.006
1,32,0.2963,-0.0044
2,32,0.1185,-0.0044
3,32,0.0508,-4e-04
4,32,0,0
5,32,0,0
6,32,-0.0847,-0.0031
7,32,-0.0847,-0.0031
8,32,-0.0847,-0.0031
9,32,0,0
10,32,0.0762,-0.0081
11,33,0.8636,-0.0076
12,33,0.8001,-0.0169
1,33,0.9483,-0.0334
2,33,1.143,-0.1538
3,33,1.0837,-0.145
4,33,1.3801,-0.123
5,33,0.8975,-2e-04
6,33,0.7112,-2e-04
7,33,0,0
8,33,0,0
9,33,0,0
10,33,0,0
11,34,0.9906,-0.0135
12,34,0.8382,-0.0098
1,34,1.016,-0.0219
2,34,1.1515,-0.1493
3,34,1.1684,-0.1472
4,34,0.7112,-0.1318
5,34,0.2455,0
6,34,0,0
7,34,0,0
8,34,0,0
9,34,0,0
10,34,0,0
11,35,0.5842,-0.0028
12,35,0.5334,-0.0034
1,35,0.5673,-0.0076
2,35,0.6689,-0.0256
3,35,0.508,-0.0242
4,35,0.2963,-0.0189
5,35,0,0
6,35,0,0
7,35,0,0
8,35,0,0
9,35,0,0
10,35,0,0
11,36,0.508,0
12,36,0.5334,-0.0053
1,36,0.5165,-0.0071
2,36,0.5419,-0.0964
3,36,0.6181,-0.097
4,36,0.4572,-0.0935
5,36,0.2625,-0.0042
6,36,0,0
7,36,0,0
8,36,0,0
9,36,0,0
10,36,0,0
11,37,0.1524,-0.0053
12,37,0.2159,-0.0065
1,37,0.254,-0.0093
2,37,0.2371,-0.084
3,37,0.1439,-0.0814
4,37,0.0339,-0.0765
5,37,0,0
6,37,0,0
7,37,0,0
8,37,0,0
9,37,0,0
10,37,0,0
11,38,1.0922,-0.0099
12,38,1.1303,-0.0079
1,38,1.0245,-0.0052
2,38,0.8213,-0.0701
3,38,1.2446,-0.0767
4,38,1.2785,-0.323
5,38,1.2361,-0.2564
6,38,0.6265,-0.2559
7,38,0.3217,-0.0096
8,38,0.2032,-0.008
9,38,0,0
10,38,0,0
11,39,0.9144,-0.0267
12,39,1.2192,-0.0184
1,39,1.3716,-0.0152
2,39,1.4986,-0.026
3,39,1.6002,-0.0227
4,39,1.27,-0.0859
5,39,0.8382,-0.0662
6,39,0.2286,-0.0661
7,39,0,0
8,39,0,0
9,39,0,0
10,39,0,0
11,40,0.1778,-0.2334
12,40,0.0889,-0.1167
1,40,0.5503,-0.0826
2,40,0.9313,-0.0141
3,40,0.9737,-0.0187
4,40,0.762,-0.017
5,40,0.3217,-0.0077
6,40,0.2794,-0.0031
7,40,0,0
8,40,0,0
9,40,0,0
10,40,0,0
11,41,0.4826,-0.1196
12,41,0.5842,-0.0743
1,41,0.8043,-0.0588
2,41,0.9144,-0.029
3,41,0.8975,-0.0598
4,41,1.2277,-0.0538
5,41,0.9567,-0.0439
6,41,0.7451,-0.0034
7,41,0,0
8,41,0,0
9,41,0,0
10,41,0,0
11,42,0.3556,-0.0444
12,42,0.4572,-0.0264
1,42,0.6096,-0.0194
2,42,0.7112,-0.0247
3,42,0.5673,-0.042
4,42,0.7027,-0.0428
5,42,0.4826,-0.0226
6,42,0.4403,-0.0025
7,42,0,0
8,42,0,0
9,42,0,0
10,42,0,0
11,43,0,0
12,43,0,0
1,43,0,0
2,43,0,0
3,43,0,0
4,43,0,0
5,43,0,0
6,43,0,0
7,43,0,0
8,43,0,0
9,43,0,0
10,43,0,0
11,44,0,0
12,44,0,0
1,44,0,0
2,44,0,0
3,44,0,0
4,44,0,0
5,44,0,0
6,44,0,0
7,44,0,0
8,44,0,0
9,44,0,0
10,44,0,0
11,45,0,0
12,45,0,0
1,45,0,0
2,45,0,0
3,45,0,0
4,45,0,0
5,45,0,0
6,45,0,0
7,45,0,0
8,45,0,0
9,45,0,0
10,45,0,0
11,46,0,0
12,46,0,0
1,46,0,0
2,46,0,0
3,46,0,0
4,46,0,0
5,46,0,0
6,46,0,0
7,46,0,0
8,46,0,0
9,46,0,0
10,46,0,0
11,47,0,0
12,47,0,0
1,47,0,0
2,47,0,0
3,47,0,0
4,47,0,0
5,47,0,0
6,47,0,0
7,47,0,0
8,47,0,0
9,47,0,0
10,47,0,0
11,48,0.4318,0
12,48,0.2159,0
1,48,0.1439,0
2,48,0,0
3,48,0.0677,-1e-04
4,48,0.0677,-1e-04
5,48,0.0677,-1e-04
6,48,0,0
7,48,0,0
8,48,0,0
9,48,0,0
10,48,0,0
11,49,0.1524,-0.033
12,49,0.127,-0.0178
1,49,0.0847,-0.0119
2,49,0.0339,-8e-04
3,49,0,0
4,49,0,0
5,49,0,0
6,49,0.0254,-0.0037
7,49,0.0254,-0.0037
8,49,0.0254,-0.0037
9,49,0,0
10,49,0,0
11,50,0,0
12,50,0,0
1,50,0,0
2,50,0,0
3,50,0,0
4,50,0,0
5,50,0,0
6,50,0,0
7,50,0,0
8,50,0,0
9,50,0,0
10,50,0,0
11,51,0,0
12,51,0,0
1,51,0,0
2,51,0,0
3,51,0,0
4,51,0,0
5,51,0,0
6,51,0,0
7,51,0,0
8,51,0,0
9,51,0,0
10,51,0,0
11,52,0,0
12,52,0,0
1,52,0,0
2,52,0,0
3,52,0,0
4,52,0,0
5,52,0,0
6,52,0,0
7,52,0,0
8,52,0,0
9,52,0,0
10,52,0,0
11,53,0,0
12,53,0,0
1,53,0,0
2,53,0,0
3,53,0,0
4,53,0,0
5,53,0,0
6,53,0,0
7,53,0,0
8,53,0,0
9,53,0,0
10,53,0,0
11,54,0,0
12,54,0.1143,-0.0184
1,54,0.0762,-0.0123
2,54,0.0762,-0.0123
3,54,0,0
4,54,0,0
5,54,0,0
6,54,0,0
7,54,0,0
8,54,0,0
9,54,0,0
10,54,0,0
11,55,0,0
12,55,0.1524,-0.0118
1,55,0.3217,-0.017
2,55,0.3217,-0.017
3,55,0.2201,-0.0091
4,55,0,0
5,55,0,0
6,55,0,0
7,55,0,0
8,55,0,0
9,55,0,0
10,55,0,0
11,56,0,0
12,56,0,0
1,56,0,0
2,56,0,0
3,56,0,0
4,56,0,0
5,56,0,0
6,56,0,0
7,56,0,0
8,56,0,0
9,56,0,0
10,56,0,0
11,57,0,0
12,57,0,0
1,57,0,0
2,57,0,0
3,57,0,0
4,57,0,0
5,57,0,0
6,57,0,0
7,57,0,0
8,57,0,0
9,57,0,0
10,57,0,0
11,58,0.5842,-0.0229
12,58,0.2921,-0.0114
1,58,0.1947,-0.0076
2,58,0,0
3,58,0,0
4,58,0,0
5,58,0,0
6,58,0,0
7,58,0,0
8,58,0,0
9,58,0,0
10,58,0,0
11,59,-0.3302,-0.0765
12,59,-0.1651,-0.0382
1,59,-0.1101,-0.0255
2,59,0,0
3,59,0,0
4,59,0,0
5,59,0,0
6,59,0,0
7,59,0,0
8,59,0,0
9,59,0,0
10,59,0,0
11,60,-0.6096,-0.0411
12,60,-0.2921,-0.0504
1,60,-0.0508,-0.0364
2,60,0.1524,-0.0227
3,60,0.1439,-0.0028
4,60,0,0
5,60,0,0
6,60,0,0
7,60,0,0
8,60,0,0
9,60,0,0
10,60,0,0
11,61,1.1176,0
12,61,0.4953,-0.0596
1,61,0.3302,-0.0397
2,61,-0.0423,-0.0397
3,61,0,0
4,61,0,0
5,61,0,0
6,61,0,0
7,61,0,0
8,61,0,0
9,61,0,0
10,61,0,0
11,62,-0.0762,-0.0066
12,62,-0.0508,-0.0279
1,62,-0.0847,-0.0214
2,62,-0.0593,-0.0192
3,62,-0.0508,-0.0028
4,62,0,0
5,62,0,0
6,62,0,0
7,62,0,0
8,62,0,0
9,62,0,0
10,62,0,0
11,63,-0.0762,-0.0023
12,63,-0.1016,-0.0318
1,63,-0.254,-0.0221
2,63,-0.2286,-0.0213
3,63,-0.1863,-9e-04
4,63,0,0
5,63,0,0
6,63,0,0
7,63,0,0
8,63,0,0
9,63,0,0
10,63,0,0
11,64,0,0
12,64,-0.1143,-0.0039
1,64,-0.0762,-0.0064
2,64,-0.0762,-0.0064
3,64,0,-0.0038
4,64,0,0
5,64,0,0
6,64,0,0
7,64,0,0
8,64,0,0
9,64,0,0
10,64,0,0
11,65,0,0
12,65,-0.0889,-0.0043
1,65,-0.0762,-0.0066
2,65,0.1609,-0.0066
3,65,0.2201,-0.0037
4,65,0.2371,0
5,65,0,0
6,65,0,0
7,65,0,0
8,65,0,0
9,65,0,0
10,65,0,0
11,66,0,0
12,66,0,0
1,66,0.0931,-0.0148
2,66,0.0931,-0.0148
3,66,0.0931,-0.0148
4,66,0,0
5,66,0,0
6,66,0,0
7,66,0,0
8,66,0,0
9,66,0,0
10,66,0,0
11,67,0,0
12,67,0,0
1,67,0.3725,-0.0062
2,67,0.3725,-0.0062
3,67,0.3725,-0.0062
4,67,0,0
5,67,0,0
6,67,0,0
7,67,0,0
8,67,0,0
9,67,0,0
10,67,0,0
11,68,0,0
12,68,0,0
1,68,0,0
2,68,0,0
3,68,0,0
4,68,0,0
5,68,0,0
6,68,0,0
7,68,0,0
8,68,0,0
9,68,0,0
10,68,0,0
11,69,0,0
12,69,0.0889,-0.0114
1,69,0.0762,-0.0312
2,69,0.0762,-0.0312
3,69,0.0169,-0.0236
4,69,0,0
5,69,0,0
6,69,0,0
7,69,0,0
8,69,0,0
9,69,0,0
10,69,0,0
11,70,0.4318,-0.0269
12,70,0.5715,-0.0314
1,70,0.5419,-0.0312
2,70,0.3979,-0.0223
3,70,0.1609,-0.0103
4,70,0,0
5,70,0,0
6,70,0,0
7,70,0,0
8,70,0,0
9,70,0,0
10,70,0,0
11,71,-1.0668,-0.0315
12,71,-0.4572,-0.0368
1,71,-0.2794,-0.0368
2,71,0.0762,-0.0263
3,71,0.0254,-0.0123
4,71,0,0
5,71,0,0
6,71,0,0
7,71,0,0
8,71,0,0
9,71,0,0
10,71,0,0
11,72,0.4318,0
12,72,0.2159,0
1,72,0.1439,0
2,72,0,0
3,72,0.0593,0
4,72,-0.2286,-0.0019
5,72,-0.4149,-0.0085
6,72,-0.4572,-0.0264
7,72,-0.1693,-0.0246
8,72,0.0169,-0.0179
9,72,0,0
10,72,0,0
11,73,0.508,-0.0036
12,73,0.254,-0.0018
1,73,0.1693,-0.0012
2,73,0,0
3,73,-0.1185,-0.002
4,73,-0.2963,-0.0042
5,73,-0.4318,-0.0184
6,73,-0.381,-0.0356
7,73,-0.2032,-0.0334
8,73,-0.0677,-0.0193
9,73,0,0
10,73,0,0
11,74,0.254,0
12,74,0.127,0
1,74,0.0847,0
2,74,0,0
3,74,-0.0339,0
4,74,-0.2032,-0.0098
5,74,-0.2879,-0.0152
6,74,-0.2032,-0.0166
7,74,-0.0339,-0.0068
8,74,0.0508,-0.0014
9,74,0,0
10,74,0,0
11,75,0.254,0
12,75,0.127,0
1,75,0.0847,0
2,75,0,0
3,75,0.2371,0
4,75,-0.2032,-0.019
5,75,-0.1778,-0.0254
6,75,-0.4149,-0.0254
7,75,0.0254,-0.0064
8,75,0,0
9,75,0,0
10,75,0,0
11,76,1.016,-0.5431
12,76,0.508,-0.2715
1,76,0.3387,-0.181
2,76,0,0
3,76,0,0
4,76,-0.4741,-0.0215
5,76,-0.4487,-0.0401
6,76,-0.4487,-0.0401
7,76,0.0254,-0.0186
8,76,0,0
9,76,0,0
10,76,0,0
11,77,0.5842,-0.0668
12,77,0.2921,-0.0334
1,77,0.1947,-0.0223
2,77,0,0
3,77,-0.0254,-8e-04
4,77,-0.0254,-8e-04
5,77,-0.0254,-8e-04
6,77,-0.0847,-0.0014
7,77,-0.0847,-0.0014
8,77,-0.0847,-0.0014
9,77,0,0
10,77,0,0
11,78,1.3716,-0.0391
12,78,0.7366,-0.0207
1,78,0.5165,-0.0148
2,78,0.0593,-0.0018
3,78,-0.0677,-0.003
4,78,-0.2709,-0.0119
5,78,-0.4318,-0.0154
6,78,-0.4995,-0.0157
7,78,-0.3217,-0.0058
8,78,-0.1609,-0.0023
9,78,0,0
10,78,0.2794,-0.0035
11,79,0.4572,-0.2073
12,79,0.2286,-0.1036
1,79,0.1524,-0.0691
2,79,0,0
3,79,-0.1439,0
4,79,-0.1439,-0.0091
5,79,-0.0931,-0.0097
6,79,0.0254,-0.0097
7,79,0.0254,-5e-04
8,79,-0.0254,0
9,79,0,0
10,79,0,0
11,80,0.5334,-0.0348
12,80,0.2667,-0.0174
1,80,0.1778,-0.0116
2,80,0,0
3,80,-0.1101,-0.0052
4,80,-0.0931,-0.0102
5,80,0.0085,-0.0102
6,80,0.2032,-0.0051
7,80,0.1863,0
8,80,0.0847,0
9,80,0,0
10,80,0,0
11,81,0,0
12,81,0,0
1,81,0,0
2,81,0.0677,-0.0256
3,81,0.2201,-0.0272
4,81,0.2371,-0.0286
5,81,0.2963,-0.0034
6,81,0.1439,-0.0018
7,81,0.127,-3e-04
8,81,0,0
9,81,0,0
10,81,0,0
11,82,0,0
12,82,0,0
1,82,0,0
2,82,0,0
3,82,0.2032,-0.0025
4,82,0.1016,-0.0041
5,82,0.3556,-0.0041
6,82,0.1524,-0.0017
7,82,0.254,0
8,82,0,0
9,82,0,0
10,82,0,0
11,83,0.4318,-0.0064
12,83,0.2159,-0.0032
1,83,0.1439,-0.0021
2,83,0,0
3,83,-0.0593,-0.0044
4,83,-0.0593,-0.0044
5,83,-0.0593,-0.0044
6,83,0.1693,0
7,83,0.1693,0
8,83,0.1693,0
9,83,0,0
10,83,0,0
11,84,0,0
12,84,0,0
1,84,0,-0.0019
2,84,0,-0.0019
3,84,0.0593,-0.0065
4,84,0.0593,-0.0046
5,84,0.0593,-0.0046
6,84,0,0
7,84,0,0
8,84,0,0
9,84,0,0
10,84,0,0
11,85,0.2032,-0.0114
12,85,0.1016,-0.0057
1,85,0.0677,-0.0038
2,85,0.0508,-0.0037
3,85,0.0254,-0.0045
4,85,0.0254,-0.0045
5,85,-0.0254,-8e-04
6,85,0.1609,-1e-04
7,85,0.1609,-1e-04
8,85,0.1609,-1e-04
9,85,0,0
10,85,0,0
11,86,0,0
12,86,0,0
1,86,0,0
2,86,0.0847,0
3,86,-0.0339,-0.0024
4,86,-0.0339,-0.0024
5,86,-0.1185,-0.0024
6,86,0.1439,-5e-04
7,86,0.1439,-5e-04
8,86,0.1439,-5e-04
9,86,0,0
10,86,0,0
11,87,0,0
12,87,0,0
1,87,0,0
2,87,0.1355,-8e-04
3,87,0.1693,-9e-04
4,87,0.1693,-9e-04
5,87,0.0339,-2e-04
6,87,0,0
7,87,0,0
8,87,0,0
9,87,0,0
10,87,0,0
11,88,-0.1016,-0.397
12,88,-0.0508,-0.1985
1,88,-0.0339,-0.1323
2,88,0.4995,-0.0049
3,88,0.9398,-0.0049
4,88,0.9398,-0.0049
5,88,0.4403,0
6,88,0,0
7,88,0,0
8,88,0,0
9,88,0,0
10,88,0,0
11,89,0.127,-0.1148
12,89,0.0635,-0.0574
1,89,0.0423,-0.0383
2,89,0.4741,-0.0012
3,89,0.9059,-0.0012
4,89,0.9059,-0.0012
5,89,0.4318,0
6,89,0,0
7,89,0,0
8,89,0,0
9,89,0,0
10,89,0,0
11,90,0,0
12,90,0,0
1,90,0.0847,-0.0077
2,90,0.127,-0.0079
3,90,0.1863,-0.0137
4,90,0.1016,-0.006
5,90,0.0593,-0.0058
6,90,0,0
7,90,0,0
8,90,0,0
9,90,0,0
10,90,0,0
11,91,-1.0668,-0.0122
12,91,-0.1651,-0.0662
1,91,0.0931,-0.0486
2,91,0.635,-0.0489
3,91,0.3895,-0.0088
4,91,0.1863,-0.0043
5,91,0,0
6,91,0,0
7,91,0,0
8,91,0,0
9,91,0,0
10,91,0,0
11,92,-2.0574,0
12,92,-1.0287,0
1,92,-0.3048,0
2,92,0.7027,-1e-04
3,92,0.7027,-1e-04
4,92,0.3217,-1e-04
5,92,0,0
6,92,0,0
7,92,0,0
8,92,0,0
9,92,0,0
10,92,0,0
11,93,-1.0668,-0.0018
12,93,1.1557,-0.0019
1,93,0.9652,-0.0138
2,93,1.3547,-0.0248
3,93,0.2286,-0.0241
4,93,0.0339,-0.0116
5,93,0,0
6,93,0,0
7,93,0,0
8,93,0,0
9,93,0,0
10,93,0,0
11,94,0.6604,-0.0104
12,94,1.1049,-0.0064
1,94,0.7789,-0.0196
2,94,0.6096,-0.0174
3,94,0.0931,-0.0167
4,94,0.0508,-0.0014
5,94,0,0
6,94,0,0
7,94,0,0
8,94,0,0
9,94,0,0
10,94,0,0
11,95,0,0
12,95,0.635,0
1,95,0.4995,-0.0069
2,95,0.635,-0.0089
3,95,0.3048,-0.0097
4,95,0.2286,-0.0029
5,95,0.0931,-8e-04
6,95,0,0
7,95,0,0
8,95,0,0
9,95,0,0
10,95,0,0
11,96,1.2192,-0.0089
12,96,0.7747,-0.0105
1,96,0.3556,-0.008
2,96,-0.0931,-0.005
3,96,-0.0847,-0.0058
4,96,0.0762,-0.0049
5,96,0.1185,-0.0049
6,96,0,0
7,96,0,0
8,96,0,0
9,96,0,0
10,96,0,0
11,97,0,0
12,97,0.1778,-0.0217
1,97,0.0423,-0.0177
2,97,0.0931,-0.0186
3,97,0.0931,-0.0057
4,97,0.1693,-0.0025
5,97,0.1185,-0.0015
6,97,0,0
7,97,0,0
8,97,0,0
9,97,0,0
10,97,0,0
11,98,1.2446,-0.0107
12,98,0.4064,-0.024
1,98,0.0931,-0.0165
2,98,-0.3725,-0.014
3,98,-0.2286,-0.0015
4,98,-0.0508,-0.001
5,98,0,0
6,98,0,0
7,98,0,0
8,98,0,0
9,98,0,0
10,98,0,0
11,99,0,0
12,99,-0.0254,-0.0404
1,99,-0.0169,-0.0269
2,99,-0.0169,-0.0269
3,99,0.0762,-0.0069
4,99,0.0762,-0.0069
5,99,0.0762,-0.0069
6,99,0,0
7,99,0,0
8,99,0,0
9,99,0,0
10,99,0,0
11,100,0,0
12,100,-0.0508,-0.0203
1,100,0.127,-0.0147
2,100,0.127,-0.0147
3,100,0.1609,-0.0012
4,100,0,0
5,100,0,0
6,100,0,0
7,100,0,0
8,100,0,0
9,100,0,0
10,100,0,0
11,101,0,0
12,101,-0.1016,-0.0182
1,101,-0.0085,-0.0177
2,101,0.1439,-0.018
3,101,0.3387,-0.0059
4,101,0.2794,-3e-04
